Naslov,Avtor,Leta izida,Dolžina,Točke,Ocena,Število bralcev
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,366,5793,4.29,4063356
Lost Horizon,James Hilton,1933,241,1276,3.95,22920
At the Mountains of Madness,H.P. Lovecraft,1931,194,1185,3.81,55007
"Mary Poppins (Mary Poppins, #1)",P.L. Travers,1934,209,1169,4.01,134755
"The Sword in the Stone (The Once and Future King, #1)",T.H. White,1938,352,968,3.89,26880
"Out of the Silent Planet (The Space Trilogy, #1)",C.S. Lewis,,,590,3.93,96790
"A Fighting Man of Mars (Barsoom, #7)",Edgar Rice Burroughs,1930,239,563,3.86,3979
"Swords of Mars (Barsoom, #8)",Edgar Rice Burroughs,1935,191,549,3.83,3526
Azathoth,H.P. Lovecraft,1938,5,447,3.2,1666
The Strange High House in the Mist,H.P. Lovecraft,1931,26,446,3.3,1070
"The Conan Chronicles: Volume 2: The Hour of the Dragon (The Conan Chronicles, #2)",Robert E. Howard,2001,575,382,4.23,569
"Mary Poppins Comes Back (Mary Poppins, #2)",P.L. Travers,1935,312,357,4.0,15214
"Tarzan and the City of Gold (Tarzan, #16)",Edgar Rice Burroughs,,1,356,3.73,1443
The Quest of Iranon,H.P. Lovecraft,1935,10,344,3.49,1079
"Tarzan and the Forbidden City (Tarzan, #20)",Edgar Rice Burroughs,1938,191,343,3.72,1497
Through the Gates of the Silver Key,H.P. Lovecraft,1934,48,343,3.68,951
"Tarzan at the Earth's Core (Tarzan, #13; Pellucidar, #4)",Edgar Rice Burroughs,1929,310,342,3.88,2076
The Other Gods,H.P. Lovecraft,1933,10,340,3.31,1554
"Tarzan and the Leopard Men (Tarzan, #18)",Edgar Rice Burroughs,1935,35,339,3.67,1194
"Tarzan and the Lion Man (Tarzan, #17)",Edgar Rice Burroughs,1934,192,335,3.68,1199
The Curse of the Wise Woman,Lord Dunsany,1933,222,291,3.81,94
The Dreams in the Witch House,H.P. Lovecraft,1933,43,285,3.74,4209
"Carson of Venus (Venus, #3)",Edgar Rice Burroughs,1939,276,282,3.71,1185
The Evil Clergyman,H.P. Lovecraft,1939,88,282,3.03,869
"Back to the Stone Age (Pellucidar, #5)",Edgar Rice Burroughs,1937,336,275,3.8,785
"Pirates of Venus (Venus, #1)",Edgar Rice Burroughs,1935,179,255,3.69,1734
"Tarzan the Invincible (Tarzan, #14)",Edgar Rice Burroughs,1930,192,243,3.73,1306
"Tarzan Triumphant (Tarzan, #15)",Edgar Rice Burroughs,1931,192,240,3.73,1259
"Tarzan's Quest (Tarzan, #19)",Edgar Rice Burroughs,1935,191,237,3.78,1014
"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,2002,496,195,4.16,13870
The Circus of Dr. Lao,Charles G. Finney,1935,154,194,3.8,1404
The Haunter of the Dark,H.P. Lovecraft,1935,31,191,3.95,4287
